"Framework","Iteration","Training.size","Batch.size","Number.of.epochs","Learning.rate","Precision.mode","Device","Weight.initialization","Dropout.rate","Training.time..in.seconds.","Inference.time..in.seconds.","Accuracy..in...","Average.CPU.usage..in.....during.CPU.training.","Average.RAM.usage..in.....during.CPU.training.","Average.CPU.usage..in.....during.CPU.inference.","Average.RAM.usage..in.....during.CPU.inference.","Average.CPU.usage..in.....during.GPU.training.","Average.RAM.usage..in.....during.GPU.training.","Average.GPU.usage..in.....during.GPU.training.","Average.GPU.VRAM..in.....during.GPU.training.","Average.CPU.usage..in.....during.GPU.inference.","Average.RAM.usage..in.....during.GPU.inference.","Average.GPU.usage..in.....during.GPU.inference.","Average.GPU.VRAM..in.....during.GPU.inference."
"TensorFlow",0,0.2,64,5,0.01,"float32","gpu","xavier",0,3.95791554450989,19.4204092025757,90.74,NA,NA,"[]","[]","9.749056603773585","23.034739203712938","16.32075471698113","25.098149651299558","12.046153846153846","23.200891041924542","13.94331983805668","25.69953958984041"
"TensorFlow",0,0.2,64,5,0.05,"float32","gpu","xavier",0,3.73571848869324,18.6994552612305,96.52,NA,NA,"[]","[]","9.984313725490196","23.03008871918456","18.294117647058822","25.047525594961428","12.039148936170216","23.218520765210044","13.595744680851064","25.701049552879265"
"TensorFlow",0,0.2,64,5,0.1,"float32","gpu","xavier",0,3.88170313835144,21.7916488647461,96.88,NA,NA,"[]","[]","10.305769230769231","23.054387189140037","17.557692307692307","25.136759640710473","11.763309352517984","23.21528226930836","15.863309352517986","25.723146554874493"
"TensorFlow",0,0.2,64,5,0.01,"mixed","gpu","xavier",0,5.17798638343811,29.4354438781738,91.03,NA,NA,"[]","[]","10.807812499999999","23.096268309895805","12.515625","25.37391822400602","11.632129963898917","23.22092649481371","13.790613718411553","25.68528893318198"
"TensorFlow",0,0.2,64,5,0.05,"mixed","gpu","xavier",0,4.74638772010803,24.4998693466187,96.51,NA,NA,"[]","[]","10.64166666666667","23.096997920492633","14.2","25.295789957774165","11.911313868613139","23.233818917202257","13.74087591240876","25.685960188629323"
"TensorFlow",0,0.2,64,5,0.1,"mixed","gpu","xavier",0,4.50405359268188,20.0512647628784,96.85,NA,NA,"[]","[]","10.812068965517241","23.084892195101695","14.637931034482758","25.27928309769611","12.18288590604027","23.232447183408464","12.456375838926174","25.69359507801919"
"TensorFlow",0,0.2,64,5,0.01,"float32","gpu","he",0,4.12421703338623,19.4369077682495,93.95,NA,NA,"[]","[]","10.249056603773584","23.065992088506807","17.169811320754718","25.206534317472418","11.737246963562752","23.21444756032526","13.987854251012147","25.715687205452006"
"TensorFlow",0,0.2,64,5,0.05,"float32","gpu","he",0,3.89423155784607,20.7431554794312,96.74,NA,NA,"[]","[]","10.134615384615387","23.05739817129844","16.442307692307693","25.14496039517989","12.025114155251142","23.21589068517287","13.164383561643836","25.657541691794282"
"TensorFlow",0,0.2,64,5,0.1,"float32","gpu","he",0,3.93397307395935,19.533896446228,97.03,NA,NA,"[]","[]","10.284615384615384","23.063705904726955","16.653846153846153","25.159914712153522","12.117056856187292","23.241990986234196","13.929765886287626","25.753179522695113"
"TensorFlow",0,0.2,64,5,0.01,"mixed","gpu","he",0,4.71733641624451,21.845269203186,93.97,NA,NA,"[]","[]","10.358333333333333","23.094139317346634","14.433333333333334","25.25523642292739","11.335830618892508","23.23876596822599","16.061889250814332","25.710102213864303"
"TensorFlow",0,0.2,64,5,0.05,"mixed","gpu","he",0,4.73120522499084,21.3587284088135,96.67,NA,NA,"[]","[]","10.680000000000001","23.08375120479041","14.05","25.276140306869024","11.73036303630363","23.22553430943714","15.092409240924093","25.69666850041332"
"TensorFlow",0,0.2,64,5,0.1,"mixed","gpu","he",0,4.64072847366333,22.0044851303101,97.02,NA,NA,"[]","[]","10.328333333333335","23.104442104515613","14.066666666666666","25.26067143275221","11.19634703196347","23.221974738157115","16.85388127853881","25.634976951320297"
"TensorFlow",0,0.2,256,5,0.01,"float32","gpu","xavier",0,2.09663796424866,11.0984086990356,63.16,NA,NA,"[]","[]","9.440000000000001","22.75183473903362","17.0","24.49015427066349","10.601785714285715","22.967814307022756","19.928571428571427","25.489150884234295"
"TensorFlow",0,0.2,256,5,0.05,"float32","gpu","xavier",0,2.0478413105011,10.3878974914551,92.32,NA,NA,"[]","[]","9.568965517241379","22.80703949582395","17.724137931034484","24.614539588352066","10.374576271186442","23.01285517045403","21.54237288135593","25.55340375462101"
"TensorFlow",0,0.2,256,5,0.1,"float32","gpu","xavier",0,3.69788098335266,8.89673233032227,94.88,NA,NA,"[]","[]","7.6312500000000005","22.547688328532814","10.916666666666666","23.153141853756427","10.735000000000001","23.001690982983316","24.5","25.617709770475365"
"TensorFlow",0,0.2,256,5,0.01,"mixed","gpu","xavier",0,2.04997110366821,10.0836038589478,63.18,NA,NA,"[]","[]","10.0","22.77839821846462","14.379310344827585","23.968393327480257","11.420168067226891","23.137055270632","15.672268907563025","25.41044512625067"
"TensorFlow",0,0.2,256,5,0.05,"mixed","gpu","xavier",0,2.08099961280823,10.2803945541382,92.32,NA,NA,"[]","[]","9.203333333333331","22.782037696715555","14.966666666666667","23.91822400602033","11.844852941176471","23.174032748811154","12.794117647058824","25.512206638581677"
"TensorFlow",0,0.2,256,5,0.1,"mixed","gpu","xavier",0,2.50036692619324,11.5414142608643,94.92,NA,NA,"[]","[]","9.41764705882353","22.780703308757097","14.147058823529411","24.020776001357522","10.310810810810809","22.83898571270787","11.783783783783784","24.173816359944546"
